period,role,created,started,resolved,deploys,failures,restore_hours
2026-01,backend,2026-01-02,2026-01-08,2026-01-12,8,1,3.5
2026-01,backend,2026-01-03,2026-01-05,2026-01-09,8,1,3.5
2026-01,frontend,2025-12-20,2026-01-10,2026-01-14,8,1,3.5
2026-01,design,2025-12-28,2026-01-04,2026-01-07,8,1,3.5
2026-02,backend,2026-01-28,2026-02-03,2026-02-06,12,2,4.0
2026-02,backend,2026-01-10,2026-02-02,2026-02-12,12,2,4.0
2026-02,frontend,2026-01-15,2026-02-01,2026-02-11,12,2,4.0
2026-03,backend,2026-01-20,2026-03-01,2026-03-10,18,4,6.5
2026-03,frontend,2026-01-25,2026-03-02,2026-03-14,18,4,6.5
2026-03,design,2026-02-01,2026-03-05,2026-03-09,18,4,6.5
